match_id,player_1_id,player_2_id,player_1_name,player_2_name,player_1_win_probability,player_2_win_probability,predicted_winner_id,predicted_winner_name,tournament_name,surface,round,match_date,ELO_PRE_DIFF,ELO_SURFACE_PRE_DIFF,ATP_RANK_DIFF,ATP_POINT_DIFF,H2H_DIFF,H2H_SURFACE_DIFF,confidence,confidence_band,product_confidence_band,explanation_risk_level,model_agreement_score,visible_signal_agreement_score,visible_signal_conflict_reasons,recommended_explanation_copy,favorite_player_id,favorite_player_name,underdog_player_id,underdog_player_name,favorite_reason_group
2026-08-02-montreal-canada-round-of-64-144719-210696,144719,210696,Jaume Munar,Alexander Blockx,0.9788788557052612,0.0211211442947387,144719,Jaume Munar,Montreal Canada,Hard,Round of 64,2026-08-02,1.1530201880793811,145.6986517103453,11.0,-326.0,0.0,0.0,0.9788788557052612,High model confidence,Moderate model agreement,medium,1.0,0.5,ATP rank; ATP points,"The model favors Jaume Munar, with enough support to treat this as a moderate-confidence prediction.",144719,Jaume Munar,210696,Alexander Blockx,overall_elo
2026-08-02-montreal-canada-quarterfinals-210017-210530,210017,210530,Daniel Merida Aguilar,Learner Tien,0.1535631865262985,0.8464368134737015,210530,Learner Tien,Montreal Canada,Hard,Quarterfinals,2026-08-02,-143.1566700733099,-200.619141528819,45.0,-1320.0,0.0,0.0,0.8464368134737015,Moderate model confidence,Strong model agreement,low,1.0,1.0,,"The model favors Learner Tien, and the visible pre-match signals mostly point in the same direction.",210530,Learner Tien,210017,Daniel Merida Aguilar,overall_elo
2026-08-02-montreal-canada-quarterfinals-210097-210150,210097,210150,Ben Shelton,Jakub Mensik,0.203046441078186,0.796953558921814,210150,Jakub Mensik,Montreal Canada,Hard,Quarterfinals,2026-08-02,28.90398479835312,57.21721902758486,-9.0,1375.0,-1.0,-0.0,0.796953558921814,Moderate model confidence,Low visible-signal agreement,high,1.0,0.2,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Jakub Mensik, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",210150,Jakub Mensik,210097,Ben Shelton,head_to_head
2026-08-02-montreal-canada-quarterfinals-212588-209950,212588,209950,Rafael Jodar,Arthur Fils,0.0137933529913425,0.9862066470086576,209950,Arthur Fils,Montreal Canada,Hard,Quarterfinals,2026-08-02,-213.07682424805463,-185.8477846984549,2.0,-63.0,1.0,1.0,0.9862066470086576,High model confidence,Strong model agreement,medium,1.0,0.6666666666666666,head-to-head; surface head-to-head,"The model favors Arthur Fils, and the visible pre-match signals mostly point in the same direction.",209950,Arthur Fils,212588,Rafael Jodar,overall_elo
2026-08-02-montreal-canada-quarterfinals-206909-209260,206909,209260,Brandon Nakashima,Luciano Darderi,0.7504817843437195,0.2495182156562805,206909,Brandon Nakashima,Montreal Canada,Hard,Quarterfinals,2026-08-02,9.261031485155629,177.74598787577952,10.0,-615.0,-0.0,1.0,0.7504817843437195,Moderate model confidence,Strong model agreement,low,1.0,0.6,ATP rank; ATP points,"The model favors Brandon Nakashima, and the visible pre-match signals mostly point in the same direction.",206909,Brandon Nakashima,209260,Luciano Darderi,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-208361-209414,208361,209414,Gustavo Heide,Luca Van Assche,0.4574505388736725,0.5425494611263275,209414,Luca Van Assche,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-120.908881732503,-8.969786186510191,86.0,-524.0,-0.0,-0.0,0.5425494611263275,Toss-up,Moderate model agreement,low,1.0,1.0,,"The model favors Luca Van Assche, with enough support to treat this as a moderate-confidence prediction.",209414,Luca Van Assche,208361,Gustavo Heide,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-126127-105583,126127,105583,Benjamin Bonzi,Dusan Lajovic,0.7783054709434509,0.221694529056549,126127,Benjamin Bonzi,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,118.88589195765644,64.02514712664924,-51.0,255.0,-1.0,-1.0,0.7783054709434509,Moderate model confidence,Strong model agreement,low,1.0,0.6666666666666666,head-to-head; surface head-to-head,"The model favors Benjamin Bonzi, and the visible pre-match signals mostly point in the same direction.",126127,Benjamin Bonzi,105583,Dusan Lajovic,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-126952-111460,126952,111460,Soon Woo Kwon,Quentin Halys,0.0582852251827716,0.9417147748172284,111460,Quentin Halys,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-65.54501733291067,13.779861654106526,106.0,-620.0,-0.0,-0.0,0.9417147748172284,High model confidence,Strong model agreement,medium,1.0,0.75,surface Elo,"The model favors Quentin Halys, and the visible pre-match signals mostly point in the same direction.",111460,Quentin Halys,126952,Soon Woo Kwon,overall_elo
2026-08-13-cincinnati-united-states-1st-round-qualifying-208353-207352,208353,207352,Francesco Maestrelli,Bu Yunchaokete,0.8452257513999939,0.1547742486000061,208353,Francesco Maestrelli,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-23.75862493161503,-32.37255370685352,38.0,-185.0,0.0,0.0,0.8452257513999939,Moderate model confidence,Low visible-signal agreement,high,1.0,0.0,overall Elo; surface Elo; ATP rank; ATP points,"The model favors Francesco Maestrelli, but visible pre-match signals do not strongly agree. Treat this as a higher-risk prediction.",208353,Francesco Maestrelli,207352,Bu Yunchaokete,model_probability
2026-08-13-cincinnati-united-states-1st-round-qualifying-105932-210262,105932,210262,Nikoloz Basilashvili,Jaime Faria,0.2710205614566803,0.7289794385433197,210262,Jaime Faria,Cincinnati United States,Hard,1st Round Qualifying,2026-08-13,-94.34695640943823,-7.922655182501558,54.0,-286.0,-0.0,-0.0,0.7289794385433197,Lean,Moderate model agreement,low,1.0,1.0,,"The model favors Jaime Faria, with enough support to treat this as a moderate-confidence prediction.",210262,Jaime Faria,105932,Nikoloz Basilashvili,overall_elo
